@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
533,42,26,7,0,13,?
840,69,43,102,3,19,?
57,0,6,0,0,0,?
84,6,3,0,0,0,?
8,0,1,0,0,0,?
19,11,0,0,0,0,?
201,7,16,26,0,6,?
159,6,14,11,0,2,?
50,0,4,7,0,0,?
87,5,5,5,0,0,?
134,7,7,16,0,3,?
68,1,6,4,0,0,?
87,1,9,5,0,0,?
65,2,6,4,0,0,?
290,9,17,17,0,6,?
86,2,7,6,0,1,?
37,0,3,0,0,0,?
37,0,0,0,0,0,?
202,6,10,44,0,10,?
231,10,18,37,0,5,?
241,11,19,38,0,6,?
215,16,9,10,0,14,?
70,5,5,6,0,4,?
166,17,8,82,0,3,?
79,5,4,32,0,0,?
153,20,5,76,1,0,?
143,17,7,64,0,0,?
89,9,4,35,0,0,?
164,15,7,90,0,0,?
91,9,10,37,0,0,?
113,10,7,36,1,1,?
156,25,6,55,3,0,?
109,10,5,57,0,0,?
45,6,3,10,0,1,?
