@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
127,30,1,40,1,4,?
56,2,7,12,0,0,?
277,55,5,86,2,0,?
93,7,6,6,0,1,?
92,1,6,7,0,1,?
96,1,6,10,0,1,?
112,7,8,26,0,0,?
338,14,19,60,0,3,?
142,7,10,8,0,4,?
144,9,8,4,0,5,?
217,12,14,19,2,5,?
590,37,42,21,14,11,?
638,9,57,15,0,0,?
425,7,38,18,0,3,?
500,24,34,73,0,12,?
1044,28,83,70,0,2,?
1207,34,98,87,0,2,?
1215,34,97,78,0,2,?
66,5,2,13,0,1,?
150,9,9,24,0,2,?
9,0,0,0,0,0,?
4,0,0,0,0,0,?
12,0,4,0,0,0,?
8,1,0,0,0,0,?
207,13,11,30,1,4,?
193,12,9,31,1,0,?
126,6,11,8,0,2,?
7,0,0,0,0,0,?
61,1,5,5,0,0,?
119,7,7,2,2,4,?
126,1,12,12,0,0,?
16,0,0,0,0,0,?
190,7,14,8,2,2,?
34,1,1,0,0,0,?
